inventory_system.py:8:1: E302 expected 2 blank lines, found 1
inventory_system.py:13:26: E231 missing whitespace after ','
inventory_system.py:18:1: E302 expected 2 blank lines, found 1
inventory_system.py:24:80: E501 line too long (80 > 79 characters)
inventory_system.py:26:1: E302 expected 2 blank lines, found 1
inventory_system.py:29:1: E302 expected 2 blank lines, found 1
inventory_system.py:35:1: E302 expected 2 blank lines, found 1
inventory_system.py:40:1: E302 expected 2 blank lines, found 1
inventory_system.py:45:1: E302 expected 2 blank lines, found 1
inventory_system.py:52:1: E302 expected 2 blank lines, found 1
inventory_system.py:65:1: E305 expected 2 blank lines after class or function definition, found 1
